scorer,,,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil
bodyparts,,,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,paw,paw,wrist_joint,wrist_joint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,mj_15_51_02_ncb1283-L-camB,img00787.png,370.1225271218891,323.88675494575625,375.6439055520103,334.9295118059988,393.5883854499043,334.23933950223363,408.77217613273785,336.3098564135291,397.7294192724953,314.2243426930441,,
labeled-data,mj_15_51_02_ncb1283-L-camB,img00791.png,372.88321633694966,319.0555488194002,377.02425015954066,324.5769272495214,388.75717932354826,329.4081333758775,410.1525207402681,330.0983056796427,401.18028079132114,313.5341703892789,,
labeled-data,mj_15_51_02_ncb1283-L-camB,img00798.png,377.7144224633057,324.5769272495214,380.4751116783664,328.71796107211236,385.30631780472254,334.9295118059988,,,401.18028079132114,315.60468730057437,,
labeled-data,mj_15_51_02_ncb1283-L-camB,img01059.png,323.19081046585836,327.3376164645821,339.7549457562221,345.2820963624761,374.26356094448,345.2820963624761,389.4473516273134,341.1410625398852,367.36183790682844,314.9145149968092,378.4045947670709,305.9422750478622
labeled-data,mj_15_51_02_ncb1283-L-camB,img01062.png,314.2185705169114,323.1965826419911,334.2335673261009,336.3098564135291,363.9109763880026,336.3098564135291,383.9259731971922,332.8589948947033,360.4601148691769,309.393136566688,374.95373324824516,298.3503797064455
labeled-data,mj_15_51_02_ncb1283-L-camB,img01066.png,322.5006381620933,321.8162380344608,340.4451180599873,331.47865028717297,365.9814932992981,338.3803733248245,386.68666241225276,332.16882259093813,365.9814932992981,310.08330887045315,381.16528398213154,298.3503797064455
labeled-data,mj_15_51_02_ncb1283-L-camB,img01077.png,336.3040842373964,319.0555488194002,346.6566687938738,328.02778876834725,365.9814932992981,332.8589948947033,384.6161455009574,332.8589948947033,378.4045947670709,307.3226196553925,389.4473516273134,295.5896904913849
labeled-data,mj_15_51_02_ncb1283-L-camB,img01120.png,406.70165922144236,294.20934588385455,412.2230376515636,303.87175813656677,410.84269304403324,314.2243426930441,401.8704530950862,317.67520421186987,422.57562220804095,299.73072431397577,,
