scorer,,,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil
bodyparts,,,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,paw,paw,wrist_joint,wrist_joint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,camera-camA,img00019.png,,,,,,,,,,,,
labeled-data,camera-camA,img00019.png,,,,,,,,,,,,
labeled-data,camera-camA,img000541.png,,,,,,,,,,,,
labeled-data,camera-camA,img000541.png,,,,,,,,,,,,
labeled-data,camera-camA,img004895.png,,,,,,,,,,,,
labeled-data,camera-camA,img004895.png,,,,,,,,,,,,
labeled-data,camera-camA,img00540.png,,,,,,,,,,,,
labeled-data,camera-camA,img00540.png,,,,,,,,,,,,
labeled-data,camera-camA,img005482.png,80.2164242942685,286.5182751380356,77.83676802239665,287.31149389532624,72.28423672136239,288.10471265261685,67.52492417761869,288.89793140990747,54.833424060968866,276.20643129325765,40.55548642973781,282.5521813515826
labeled-data,camera-camA,img005482.png,80.2164242942685,286.5182751380356,77.83676802239665,287.31149389532624,72.28423672136239,288.10471265261685,67.52492417761869,288.89793140990747,54.833424060968866,276.20643129325765,40.55548642973781,282.5521813515826
labeled-data,camera-camA,img007252.png,112.7383933431837,232.5793996422739,116.70448712963673,236.54549342872696,116.70448712963673,241.30480597247066,115.1180496150555,244.4776810016331,99.25367446924321,242.89124348705187,88.14861186717462,255.5827436037017
labeled-data,camera-camA,img007252.png,112.7383933431837,232.5793996422739,116.70448712963673,236.54549342872696,116.70448712963673,241.30480597247066,115.1180496150555,244.4776810016331,99.25367446924321,242.89124348705187,88.14861186717462,255.5827436037017
labeled-data,camera-camA,img009964.png,,,,,,,,,,,,
labeled-data,camera-camA,img009964.png,,,,,,,,,,,,
labeled-data,camera-camA,img011211.png,138.12139357648334,191.332024263162,146.84679990668008,198.4709930787775,146.05358114938946,211.95571195271793,131.7756435181584,220.6811182829147,119.8773621587992,204.02352437981182,98.46045571195265,218.30146201104284
