scorer,,,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil,Daniil
bodyparts,,,finger1,finger1,finger2,finger2,finger3,finger3,finger4,finger4,paw,paw,wrist_joint,wrist_joint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,mj_15_04_17_ncb1042-camB,img00699.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img02596.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img03266.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img03610.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img05532.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img05744.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img06297.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img06602.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img09362.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img09416.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img09801.png,386.83125972006223,243.11735614307935,382.98678071539666,245.03959564541216,382.98678071539666,252.72855365474342,382.02566096423027,266.1842301710731,414.7037325038881,249.8451944012442,,
labeled-data,mj_15_04_17_ncb1042-camB,img10240.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img10521.png,,,,,,,,,,,,
labeled-data,mj_15_04_17_ncb1042-camB,img10525.png,419.9093915168256,281.4233805211017,421.7477490637699,289.6959894823511,418.9902127433535,297.04941967012826,415.3134976494648,303.48367108443335,406.1217099147433,286.01927438846246,,
labeled-data,mj_15_04_17_ncb1042-camB,img10527.png,421.7477490637699,278.6658442006852,426.3436429311307,291.5343470292954,418.9902127433535,302.5644923109612,409.79842500863197,305.32202863137763,407.04088868821543,285.1000956149903,,
labeled-data,mj_15_04_17_ncb1042-camB,img10529.png,,,,,,,,,416.23267642293706,277.7466654272131,,
